file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes
Bach - 008107b_.csv,652173.0,92.00012880018032,283,77824,0.0036364103618421054,0.0,32,389120,75
Bach - 008305b_.csv,625000.0,96.0,202,53248,0.0037935697115384615,0.0,25,266240,52
Bach - 008405b_.csv,625000.0,96.0,218,61441,0.003548119333995215,0.0,23,307205,66
Bach - 008506b_.csv,625000.0,96.0,292,61441,0.004752526814342214,0.0,28,307205,87
Bach - 008606b_.csv,625000.0,96.0,270,61441,0.004394459725590404,0.0,27,307205,72
Bach - 008707b_.csv,625000.0,96.0,314,77824,0.004034745065789474,0.0,26,389120,88
Bach - 008807b_.csv,600000.0,100.0,245,61440,0.003987630208333333,0.0,26,307200,68
Bach - 008906b_.csv,625000.0,96.0,193,55296,0.003490306712962963,0.0,26,276480,68
Bach - 009005b_.csv,625000.0,96.0,234,53248,0.00439453125,0.0,33,266240,71
Bach - 009106b_.csv,625000.0,96.0,336,45056,0.007457386363636364,0.0,28,360448,101
Bach - 009106ch.csv,625000.0,96.0,197,45056,0.004372336647727273,0.0,25,225280,57
Bach - 009207b_.csv,789473.0,76.00006586672374,693,151552,0.004572687922297297,0.0,37,909312,171
Bach - 009209b_.csv,681818.0,88.00002346667293,320,81920,0.00390625,0.0,26,409600,92
Bach - 009307b_.csv,625000.0,96.0,220,65537,0.0033568823717899814,0.0,26,327685,71
Bach - 009408b_.csv,625000.0,96.0,239,69633,0.003432280671520687,0.0,25,348165,72
Bach - 009507b_.csv,600000.0,100.0,347,65536,0.0052947998046875,0.0,37,393216,110
Bach - 009606b_.csv,625000.0,96.0,219,61441,0.003564395110756661,0.0,25,307205,64
Bach - 009709b_.csv,625000.0,96.0,388,55296,0.007016782407407407,0.0,30,442368,140
Bach - 009709ch.csv,625000.0,96.0,221,53248,0.004150390625,0.0,23,266240,64
Bach - 009801b_.csv,810810.0,74.000074000074,2562,332800,0.007698317307692308,0.0,41,2995200,669
Bach - 009906b_.csv,625000.0,96.0,273,61441,0.004443287055874741,0.0,23,307205,77
Bach - 01 Menuet.csv,576920.4773735581,104.00046861423812,1048,23040,0.04548611111111111,27385.75942359607,31,86038,505
Bach - 01. Kyrie Eleison .csv,1115635.0333683803,53.78102892560217,17986,61200,0.29388888888888887,153880.92270043262,49,856452,14048
Bach - 010006b_.csv,789473.0,76.00006586672374,2921,161792,0.01805404469936709,0.0,36,1456128,766
Bach - 010107bv.csv,625000.0,96.0,326,53248,0.006122295673076923,0.0,33,372736,85
Bach - 010107b_.csv,625000.0,96.0,314,53248,0.005896935096153846,0.0,33,372736,100
Bach - 010207b_.csv,576923.0,104.00001386666851,228,53248,0.004281850961538462,0.0,27,266240,78
Bach - 010306b_.csv,625000.0,96.0,325,69633,0.004667327272988382,0.0,25,348165,88
