tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
4311,note_off,,,,,30,0,1,,,0,68,64,,
4560,control_change,,,,,249,0,1,,,0,,,64,0
5255,note_on,,,,,695,0,1,,,0,62,50,,
5418,note_on,,,,,163,0,1,,,0,63,53,,
5488,note_off,,,,,70,0,1,,,0,62,64,,
5838,note_on,,,,,350,0,1,,,0,65,37,,
5851,note_off,,,,,13,0,1,,,0,63,64,,
6012,control_change,,,,,161,0,1,,,0,,,64,127
6013,note_on,,,,,1,0,1,,,0,63,51,,
6063,note_off,,,,,50,0,1,,,0,65,64,,
6166,control_change,,,,,103,0,1,,,0,,,64,0
6193,note_on,,,,,27,0,1,,,0,58,20,,
6203,note_on,,,,,10,0,1,,,0,53,50,,
6242,note_off,,,,,39,0,1,,,0,53,64,,
6250,control_change,,,,,8,0,1,,,0,,,64,127
6306,note_on,,,,,56,0,1,,,0,61,42,,
6312,note_off,,,,,6,0,1,,,0,63,64,,
6313,note_off,,,,,1,0,1,,,0,58,64,,
6374,note_on,,,,,61,0,1,,,0,56,34,,
6375,note_on,,,,,1,0,1,,,0,65,61,,
6381,note_on,,,,,6,0,1,,,0,47,36,,
6394,note_off,,,,,13,0,1,,,0,61,64,,
6416,note_off,,,,,22,0,1,,,0,47,64,,
6420,note_off,,,,,4,0,1,,,0,56,64,,
6439,note_on,,,,,19,0,1,,,0,68,57,,
6441,note_off,,,,,2,0,1,,,0,65,64,,
6465,control_change,,,,,24,0,1,,,0,,,64,0
6507,note_on,,,,,42,0,1,,,0,75,65,,
6538,note_off,,,,,31,0,1,,,0,68,64,,
6639,note_on,,,,,0,0,1,,,0,65,40,,
6639,note_on,,,,,101,0,1,,,0,56,36,,
6698,note_on,,,,,59,0,1,,,0,73,48,,
6703,control_change,,,,,5,0,1,,,0,,,64,127
6725,note_off,,,,,22,0,1,,,0,75,64,,
6731,note_off,,,,,6,0,1,,,0,65,64,,
6751,note_off,,,,,20,0,1,,,0,56,64,,
6757,note_on,,,,,6,0,1,,,0,68,47,,
6761,note_on,,,,,4,0,1,,,0,63,43,,
6775,note_off,,,,,14,0,1,,,0,73,64,,
6797,note_off,,,,,22,0,1,,,0,63,64,,
6814,note_on,,,,,17,0,1,,,0,65,59,,
6817,note_off,,,,,3,0,1,,,0,68,64,,
6827,control_change,,,,,10,0,1,,,0,,,64,0
