tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
7538,note_on,,,,,6,0,1,,,0,,,71,35
7544,note_on,,,,,6,0,1,,,0,,,77,36
7562,control_change,,,,,18,0,1,,,0,64,0,,
7646,control_change,,,,,84,0,1,,,0,64,127,,
7702,note_off,,,,,56,0,1,,,0,,,77,64
7732,note_off,,,,,30,0,1,,,0,,,71,64
7934,note_on,,,,,202,0,1,,,0,,,39,72
7942,control_change,,,,,8,0,1,,,0,64,0,,
7970,note_off,,,,,28,0,1,,,0,,,86,64
7974,note_off,,,,,4,0,1,,,0,,,80,64
8020,control_change,,,,,46,0,1,,,0,64,127,,
8050,note_off,,,,,30,0,1,,,0,,,39,64
8272,note_on,,,,,222,0,1,,,0,,,51,67
8338,note_on,,,,,66,0,1,,,0,,,58,61
8340,note_off,,,,,2,0,1,,,0,,,51,64
8376,note_on,,,,,36,0,1,,,0,,,61,57
8388,note_off,,,,,12,0,1,,,0,,,58,64
8434,note_on,,,,,46,0,1,,,0,,,67,59
8440,note_off,,,,,6,0,1,,,0,,,61,64
8464,note_off,,,,,24,0,1,,,0,,,67,64
8482,note_on,,,,,18,0,1,,,0,,,73,56
8540,note_off,,,,,58,0,1,,,0,,,73,64
8540,note_on,,,,,0,0,1,,,0,,,79,44
8596,note_off,,,,,56,0,1,,,0,,,79,64
8600,note_on,,,,,4,0,1,,,0,,,82,52
8626,note_off,,,,,26,0,1,,,0,,,82,64
8786,note_on,,,,,160,0,1,,,0,,,89,71
8936,note_off,,,,,150,0,1,,,0,,,89,64
9252,note_on,,,,,316,0,1,,,0,,,82,39
9256,note_on,,,,,4,0,1,,,0,,,88,43
9256,note_on,,,,,0,0,1,,,0,,,73,52
9260,note_on,,,,,4,0,1,,,0,,,79,47
9288,note_off,,,,,28,0,1,,,0,,,79,64
9288,note_off,,,,,0,0,1,,,0,,,73,64
9308,note_off,,,,,20,0,1,,,0,,,88,64
9312,note_off,,,,,4,0,1,,,0,,,82,64
9420,note_on,,,,,108,0,1,,,0,,,82,43
9424,note_on,,,,,0,0,1,,,0,,,79,48
9424,note_on,,,,,4,0,1,,,0,,,88,43
9428,note_on,,,,,4,0,1,,,0,,,73,42
9472,note_off,,,,,44,0,1,,,0,,,79,64
9480,note_off,,,,,8,0,1,,,0,,,73,64
9484,note_off,,,,,4,0,1,,,0,,,88,64
9522,note_off,,,,,38,0,1,,,0,,,82,64
9528,note_on,,,,,6,0,1,,,0,,,78,53
9532,note_on,,,,,4,0,1,,,0,,,87,59
9544,note_on,,,,,12,0,1,,,0,,,72,53
9552,note_off,,,,,8,0,1,,,0,,,87,64
9562,note_off,,,,,10,0,1,,,0,,,78,64
9578,note_off,,,,,16,0,1,,,0,,,72,64
9620,note_on,,,,,42,0,1,,,0,,,92,61
9628,note_on,,,,,8,0,1,,,0,,,77,55
9628,note_on,,,,,0,0,1,,,0,,,71,60
9632,note_on,,,,,4,0,1,,,0,,,86,42
9644,note_off,,,,,12,0,1,,,0,,,71,64
9648,note_off,,,,,4,0,1,,,0,,,77,64
9652,note_off,,,,,4,0,1,,,0,,,86,64
9656,note_off,,,,,4,0,1,,,0,,,92,64
9712,note_on,,,,,56,0,1,,,0,,,92,66
9720,note_on,,,,,0,0,1,,,0,,,71,62
9720,note_on,,,,,8,0,1,,,0,,,86,61
9722,note_on,,,,,2,0,1,,,0,,,77,44
9724,set_tempo,,,,,9720,1,0,517241,,,,,,
9756,set_tempo,,,,,32,1,0,512821,,,,,,
9756,note_off,,,,,34,0,1,,,0,,,77,64
9760,note_off,,,,,4,0,1,,,0,,,71,64
9778,note_off,,,,,18,0,1,,,0,,,86,64
9784,set_tempo,,,,,28,1,0,508475,,,,,,
9786,note_off,,,,,8,0,1,,,0,,,92,64
9812,note_on,,,,,26,0,1,,,0,,,85,63
9812,note_on,,,,,0,0,1,,,0,,,76,56
9814,note_on,,,,,2,0,1,,,0,,,70,58
9816,set_tempo,,,,,32,1,0,504202,,,,,,
9820,note_on,,,,,6,0,1,,,0,,,91,55
9832,note_off,,,,,12,0,1,,,0,,,85,64
9840,note_off,,,,,8,0,1,,,0,,,91,64
9842,note_off,,,,,2,0,1,,,0,,,76,64
9848,note_off,,,,,6,0,1,,,0,,,70,64
9848,set_tempo,,,,,32,1,0,500000,,,,,,
9876,set_tempo,,,,,28,1,0,495868,,,,,,
9908,set_tempo,,,,,32,1,0,491803,,,,,,
9916,note_on,,,,,68,0,1,,,0,,,90,62
9918,note_on,,,,,2,0,1,,,0,,,96,67
9920,note_on,,,,,2,0,1,,,0,,,75,56
9920,note_on,,,,,0,0,1,,,0,,,69,57
9936,note_off,,,,,16,0,1,,,0,,,69,64
