tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
357994,note_off,,,,,4,0,1,,,,0,76,64
358020,note_on,,,,,26,0,1,,,,0,43,84
358022,note_on,,,,,2,0,1,,,,0,76,84
358024,note_on,,,,,2,0,1,,,,0,79,84
358024,note_on,,,,,0,0,1,,,,0,72,84
358026,note_on,,,,,0,0,1,,,,0,55,84
358026,note_on,,,,,2,0,1,,,,0,67,84
358038,control_change,,,,,12,0,1,,64,0,0,,
358102,control_change,,,,,64,0,1,,64,127,0,,
358108,note_off,,,,,6,0,1,,,,0,55,64
358112,note_off,,,,,4,0,1,,,,0,43,64
358174,note_on,,,,,62,0,1,,,,0,56,91
358176,note_on,,,,,2,0,1,,,,0,44,91
358192,control_change,,,,,16,0,1,,64,0,0,,
358216,control_change,,,,,24,0,1,,64,127,0,,
358252,note_off,,,,,36,0,1,,,,0,44,64
358262,note_off,,,,,10,0,1,,,,0,56,64
358320,note_on,,,,,58,0,1,,,,0,45,96
358322,note_on,,,,,2,0,1,,,,0,57,96
358336,control_change,,,,,14,0,1,,64,0,0,,
358362,control_change,,,,,26,0,1,,64,127,0,,
358366,note_off,,,,,4,0,1,,,,0,57,64
358366,note_off,,,,,0,0,1,,,,0,45,64
358462,note_on,,,,,96,0,1,,,,0,58,97
358466,note_on,,,,,4,0,1,,,,0,46,97
358468,control_change,,,,,2,0,1,,64,0,0,,
358494,control_change,,,,,26,0,1,,64,127,0,,
358542,note_off,,,,,48,0,1,,,,0,46,64
358544,note_off,,,,,2,0,1,,,,0,58,64
358604,note_on,,,,,60,0,1,,,,0,59,102
358606,note_on,,,,,2,0,1,,,,0,47,102
358614,control_change,,,,,8,0,1,,64,0,0,,
358630,note_off,,,,,16,0,1,,,,0,67,64
358638,note_off,,,,,8,0,1,,,,0,72,64
358640,control_change,,,,,2,0,1,,64,127,0,,
358664,note_off,,,,,24,0,1,,,,0,47,64
358664,note_off,,,,,0,0,1,,,,0,76,64
358666,note_off,,,,,2,0,1,,,,0,59,64
358668,note_off,,,,,2,0,1,,,,0,79,64
358752,control_change,,,,,84,0,1,,64,0,0,,
358754,note_on,,,,,2,0,1,,,,0,60,109
358756,note_on,,,,,2,0,1,,,,0,48,109
358786,control_change,,,,,30,0,1,,64,127,0,,
358820,note_off,,,,,34,0,1,,,,0,60,64
358844,note_off,,,,,24,0,1,,,,0,48,64
358928,note_on,,,,,0,0,1,,,,0,82,96
358928,note_on,,,,,84,0,1,,,,0,94,101
358930,note_on,,,,,2,0,1,,,,0,89,85
358932,note_on,,,,,2,0,1,,,,0,86,90
358976,control_change,,,,,44,0,1,,64,0,0,,
359076,note_on,,,,,0,0,1,,,,0,33,77
359076,note_on,,,,,100,0,1,,,,0,45,77
359084,control_change,,,,,8,0,1,,64,127,0,,
359118,note_off,,,,,0,0,1,,,,0,45,64
359118,note_off,,,,,34,0,1,,,,0,33,64
359220,note_on,,,,,102,0,1,,,,0,46,78
359224,note_on,,,,,4,0,1,,,,0,34,80
359236,control_change,,,,,12,0,1,,64,0,0,,
359244,control_change,,,,,8,0,1,,64,127,0,,
359274,note_off,,,,,30,0,1,,,,0,46,64
359276,note_off,,,,,2,0,1,,,,0,34,64
359366,note_on,,,,,90,0,1,,,,0,50,85
359368,note_on,,,,,2,0,1,,,,0,38,85
359376,control_change,,,,,8,0,1,,64,0,0,,
359412,control_change,,,,,36,0,1,,64,127,0,,
359426,note_off,,,,,14,0,1,,,,0,50,64
359428,note_off,,,,,2,0,1,,,,0,38,64
359464,note_off,,,,,36,0,1,,,,0,94,64
359480,note_off,,,,,0,0,1,,,,0,89,64
359480,note_off,,,,,16,0,1,,,,0,86,64
359496,note_off,,,,,16,0,1,,,,0,82,64
359508,note_on,,,,,12,0,1,,,,0,51,88
359510,note_on,,,,,2,0,1,,,,0,39,88
359528,control_change,,,,,18,0,1,,64,0,0,,
359542,control_change,,,,,14,0,1,,64,127,0,,
359576,note_off,,,,,34,0,1,,,,0,51,64
359580,note_off,,,,,4,0,1,,,,0,39,64
359656,note_on,,,,,0,0,1,,,,0,40,87
359656,note_on,,,,,76,0,1,,,,0,52,87
359696,note_off,,,,,40,0,1,,,,0,52,64
359700,note_on,,,,,0,0,1,,,,0,70,90
359700,note_off,,,,,4,0,1,,,,0,40,64
359704,note_on,,,,,4,0,1,,,,0,82,90
359704,note_on,,,,,0,0,1,,,,0,74,90
359706,note_on,,,,,2,0,1,,,,0,77,77
359726,note_off,,,,,20,0,1,,,,0,70,64
359736,note_off,,,,,10,0,1,,,,0,74,64
359738,note_off,,,,,2,0,1,,,,0,77,64
359740,note_off,,,,,2,0,1,,,,0,82,64
359766,note_on,,,,,0,0,1,,,,0,70,96
359766,note_on,,,,,26,0,1,,,,0,77,85
359768,note_on,,,,,0,0,1,,,,0,74,82
359768,note_on,,,,,2,0,1,,,,0,82,87
359772,note_on,,,,,4,0,1,,,,0,41,102
359774,note_on,,,,,2,0,1,,,,0,53,102
359790,control_change,,,,,16,0,1,,64,0,0,,
359848,control_change,,,,,58,0,1,,64,127,0,,
359856,note_off,,,,,8,0,1,,,,0,53,64
359866,note_off,,,,,10,0,1,,,,0,41,64
359926,note_on,,,,,60,0,1,,,,0,54,86
359926,note_on,,,,,0,0,1,,,,0,42,86
359944,control_change,,,,,18,0,1,,64,0,0,,
359956,control_change,,,,,12,0,1,,64,127,0,,
359986,note_off,,,,,30,0,1,,,,0,42,64
359988,note_off,,,,,2,0,1,,,,0,54,64
360066,note_on,,,,,0,0,1,,,,0,43,92
360066,note_on,,,,,78,0,1,,,,0,55,92
360078,control_change,,,,,12,0,1,,64,0,0,,
360112,control_change,,,,,34,0,1,,64,127,0,,
360120,note_off,,,,,0,0,1,,,,0,55,64
360120,note_off,,,,,8,0,1,,,,0,43,64
360212,note_on,,,,,92,0,1,,,,0,56,94
360216,note_on,,,,,4,0,1,,,,0,44,94
360222,control_change,,,,,6,0,1,,64,0,0,,
360256,control_change,,,,,34,0,1,,64,127,0,,
360282,note_off,,,,,26,0,1,,,,0,44,64
360282,note_off,,,,,0,0,1,,,,0,56,64
360364,note_on,,,,,0,0,1,,,,0,45,101
360364,note_on,,,,,82,0,1,,,,0,57,101
360372,control_change,,,,,8,0,1,,64,0,0,,
360402,control_change,,,,,30,0,1,,64,127,0,,
360414,note_off,,,,,12,0,1,,,,0,45,64
360416,note_off,,,,,2,0,1,,,,0,57,64
360428,note_off,,,,,12,0,1,,,,0,74,64
360434,note_off,,,,,6,0,1,,,,0,77,64
360438,note_off,,,,,4,0,1,,,,0,70,64
360456,note_off,,,,,18,0,1,,,,0,82,64
360526,note_on,,,,,70,0,1,,,,0,58,106
360528,note_on,,,,,2,0,1,,,,0,46,106
360542,control_change,,,,,14,0,1,,64,0,0,,
360576,control_change,,,,,34,0,1,,64,127,0,,
360612,note_off,,,,,36,0,1,,,,0,58,64
360636,note_off,,,,,24,0,1,,,,0,46,64
360698,note_on,,,,,62,0,1,,,,0,75,92
360700,note_on,,,,,2,0,1,,,,0,84,83
360700,note_on,,,,,0,0,1,,,,0,80,87
360702,note_on,,,,,2,0,1,,,,0,72,88
360850,control_change,,,,,148,0,1,,64,127,0,,
360858,note_on,,,,,8,0,1,,,,0,43,82
360860,note_on,,,,,2,0,1,,,,0,31,93
360902,note_off,,,,,0,0,1,,,,0,43,64
360902,note_off,,,,,42,0,1,,,,0,31,64
360920,note_off,,,,,18,0,1,,,,0,84,64
360944,note_off,,,,,24,0,1,,,,0,80,64
360948,note_off,,,,,4,0,1,,,,0,72,64
360956,note_off,,,,,8,0,1,,,,0,75,64
360964,set_tempo,,,,,5220,1,0,289855,,,,,
360972,set_tempo,,,,,8,1,0,285714,,,,,
360976,set_tempo,,,,,4,1,0,284360,,,,,
360980,set_tempo,,,,,4,1,0,283019,,,,,
360988,set_tempo,,,,,8,1,0,281690,,,,,
360996,set_tempo,,,,,8,1,0,279070,,,,,
361006,note_on,,,,,50,0,1,,,,0,44,97
361008,note_on,,,,,2,0,1,,,,0,32,93
361014,control_change,,,,,6,0,1,,64,0,0,,
361056,control_change,,,,,42,0,1,,64,127,0,,
361098,note_off,,,,,42,0,1,,,,0,32,64
361100,note_off,,,,,2,0,1,,,,0,44,64
361156,note_on,,,,,56,0,1,,,,0,63,90
361156,note_on,,,,,0,0,1,,,,0,60,87
361158,note_on,,,,,0,0,1,,,,0,68,87
361158,note_on,,,,,2,0,1,,,,0,72,81
361274,control_change,,,,,116,0,1,,64,0,0,,
361304,note_on,,,,,30,0,1,,,,0,55,82
361304,note_on,,,,,0,0,1,,,,0,43,90
361332,control_change,,,,,28,0,1,,64,127,0,,
361336,note_off,,,,,4,0,1,,,,0,60,64
361338,note_off,,,,,2,0,1,,,,0,55,64
361340,note_off,,,,,2,0,1,,,,0,43,64
361358,note_off,,,,,18,0,1,,,,0,63,64
361360,note_off,,,,,2,0,1,,,,0,68,64
361360,note_off,,,,,0,0,1,,,,0,72,64
361450,note_on,,,,,90,0,1,,,,0,56,98
361454,note_on,,,,,4,0,1,,,,0,44,90
361484,note_off,,,,,30,0,1,,,,0,56,64
361492,note_off,,,,,8,0,1,,,,0,44,64
361612,note_on,,,,,120,0,1,,,,0,73,87
361612,note_on,,,,,0,0,1,,,,0,61,100
361614,note_on,,,,,2,0,1,,,,0,70,82
361614,note_on,,,,,0,0,1,,,,0,66,87
361654,control_change,,,,,40,0,1,,64,0,0,,
361744,control_change,,,,,90,0,1,,64,127,0,,
361760,note_on,,,,,0,0,1,,,,0,41,93
361760,note_on,,,,,16,0,1,,,,0,53,87
361776,note_off,,,,,16,0,1,,,,0,61,64
361782,note_off,,,,,6,0,1,,,,0,66,64
361790,note_off,,,,,8,0,1,,,,0,53,64
361794,note_off,,,,,4,0,1,,,,0,41,64
361804,note_off,,,,,10,0,1,,,,0,70,64
361804,note_off,,,,,0,0,1,,,,0,73,64
361896,note_on,,,,,92,0,1,,,,0,54,92
361898,note_on,,,,,2,0,1,,,,0,42,85
361928,note_off,,,,,30,0,1,,,,0,54,64
361936,note_off,,,,,8,0,1,,,,0,42,64
362042,note_on,,,,,106,0,1,,,,0,85,92
362044,note_on,,,,,0,0,1,,,,0,73,97
362044,note_on,,,,,2,0,1,,,,0,82,86
362046,note_on,,,,,2,0,1,,,,0,78,86
362192,note_on,,,,,0,0,1,,,,0,29,88
362192,note_on,,,,,146,0,1,,,,0,41,94
362230,note_off,,,,,38,0,1,,,,0,29,64
362232,note_off,,,,,2,0,1,,,,0,41,64
362240,note_off,,,,,8,0,1,,,,0,78,64
362246,note_off,,,,,6,0,1,,,,0,82,64
362248,note_off,,,,,2,0,1,,,,0,85,64
362254,note_off,,,,,6,0,1,,,,0,73,64
362310,control_change,,,,,56,0,1,,64,0,0,,
362330,control_change,,,,,20,0,1,,64,127,0,,
362346,note_on,,,,,16,0,1,,,,0,42,87
362350,note_on,,,,,4,0,1,,,,0,30,92
362378,note_off,,,,,28,0,1,,,,0,42,64
362382,note_off,,,,,4,0,1,,,,0,30,64
362516,note_on,,,,,134,0,1,,,,0,83,90
362516,note_on,,,,,0,0,1,,,,0,80,92
362518,note_on,,,,,2,0,1,,,,0,76,87
362520,note_on,,,,,2,0,1,,,,0,88,83
